epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,2035.2,0.76047,0.42729,1.13189,0.99417,1,0.995,0.78954,0.78688,0.30037,1.08621,0.000305561,0.000305561,0.000305561
160,2047.82,0.77416,0.46416,1.14008,0.99592,1,0.995,0.8131,0.71745,0.28758,1.05366,0.000299884,0.000299884,0.000299884
161,2064.73,0.74151,0.40592,1.12365,0.99695,1,0.995,0.80372,0.7503,0.28648,1.05963,0.000294239,0.000294239,0.000294239
162,2077.22,0.77688,0.43291,1.12133,0.99725,1,0.995,0.80641,0.7625,0.28554,1.06747,0.000288628,0.000288628,0.000288628
163,2089.79,0.73653,0.41443,1.13891,0.99522,1,0.995,0.80823,0.78906,0.28625,1.08304,0.00028305,0.00028305,0.00028305
164,2102.32,0.79873,0.44359,1.15814,0.99386,1,0.995,0.80611,0.77743,0.28536,1.06997,0.000277508,0.000277508,0.000277508
165,2114.88,0.73101,0.41415,1.10928,0.99577,1,0.995,0.81296,0.71127,0.2727,1.04009,0.000272002,0.000272002,0.000272002
166,2133.78,0.74879,0.41971,1.12854,0.99449,1,0.995,0.81127,0.74766,0.28279,1.06344,0.000266532,0.000266532,0.000266532
167,2153.59,0.74859,0.43838,1.12607,0.99304,1,0.995,0.80294,0.7603,0.28643,1.06735,0.0002611,0.0002611,0.0002611
168,2166.11,0.74933,0.42552,1.13472,0.9952,1,0.995,0.80427,0.73971,0.27678,1.06113,0.000255707,0.000255707,0.000255707
169,2178.69,0.7829,0.43557,1.13843,0.99227,1,0.995,0.80399,0.76053,0.28786,1.07276,0.000250352,0.000250352,0.000250352
170,2191.23,0.74599,0.43016,1.13296,0.99168,1,0.995,0.81274,0.74226,0.28251,1.06206,0.000245039,0.000245039,0.000245039
171,2203.74,0.74929,0.41148,1.11728,0.99331,1,0.995,0.80343,0.78174,0.29211,1.09045,0.000239766,0.000239766,0.000239766
172,2216.26,0.71452,0.40084,1.10731,0.99516,1,0.995,0.8114,0.74232,0.28774,1.06728,0.000234535,0.000234535,0.000234535
173,2228.78,0.75003,0.40109,1.12437,0.99526,1,0.995,0.80913,0.77754,0.28588,1.08534,0.000229347,0.000229347,0.000229347
174,2241.32,0.74628,0.40699,1.1224,0.99434,1,0.995,0.8211,0.74448,0.27712,1.06421,0.000224202,0.000224202,0.000224202
175,2254.16,0.72153,0.39176,1.11584,0.99423,1,0.995,0.82123,0.73407,0.27296,1.05624,0.000219102,0.000219102,0.000219102
176,2267.06,0.73078,0.38956,1.11496,0.99502,1,0.995,0.80428,0.77799,0.2835,1.07087,0.000214046,0.000214046,0.000214046
177,2279.6,0.74029,0.42706,1.12752,0.99624,1,0.995,0.82644,0.72176,0.2798,1.04787,0.000209037,0.000209037,0.000209037
178,2292.44,0.74151,0.42398,1.12453,0.99632,1,0.995,0.81474,0.76054,0.297,1.07126,0.000204075,0.000204075,0.000204075
179,2304.98,0.72333,0.3907,1.11314,0.99546,1,0.995,0.80719,0.77022,0.29299,1.07532,0.000199159,0.000199159,0.000199159
180,2317.51,0.73049,0.42355,1.11964,0.99298,1,0.995,0.80213,0.77839,0.29772,1.07981,0.000194293,0.000194293,0.000194293
181,2330.04,0.71986,0.40727,1.11827,0.99335,1,0.995,0.79684,0.77189,0.29894,1.07239,0.000189475,0.000189475,0.000189475
182,2342.57,0.72689,0.40029,1.11471,0.99342,1,0.995,0.82221,0.72402,0.28349,1.05052,0.000184707,0.000184707,0.000184707
183,2355.09,0.70748,0.40201,1.09723,0.99516,1,0.995,0.8104,0.74347,0.283,1.06955,0.00017999,0.00017999,0.00017999
184,2367.91,0.73239,0.40155,1.11189,0.99572,1,0.995,0.80753,0.78227,0.28689,1.08623,0.000175324,0.000175324,0.000175324
185,2380.74,0.73889,0.41394,1.11112,0.99301,1,0.995,0.81585,0.72918,0.27095,1.04767,0.00017071,0.00017071,0.00017071
186,2393.32,0.74313,0.40865,1.12042,0.99296,1,0.995,0.80939,0.76825,0.28164,1.06905,0.000166149,0.000166149,0.000166149
187,2405.91,0.71359,0.39372,1.09845,0.99423,1,0.995,0.8089,0.72681,0.27684,1.05341,0.000161642,0.000161642,0.000161642
188,2418.5,0.70955,0.40569,1.10914,0.99431,1,0.995,0.8043,0.74878,0.28336,1.07177,0.000157188,0.000157188,0.000157188
189,2431.07,0.7115,0.38566,1.08882,0.99456,1,0.995,0.81195,0.71934,0.28068,1.05946,0.00015279,0.00015279,0.00015279
